# init omega gamma A f
-7.810212888e-01 3.056226115e+00 4.367481523e-01 2.197721048e+01 3.764560021e+00
1.125659974e+00 1.842900262e+00 1.249761224e-01 1.849986511e+01 5.396642385e+00
-2.345631772e-01 2.267293830e+00 4.534564978e-01 2.985404475e+01 4.279644115e+00
7.404716413e-01 1.156720026e+00 7.190857823e-01 2.691005246e+01 6.088329101e+00
1.325215701e+00 2.743860375e+00 3.925249765e-01 1.343118088e+01 3.456159837e+00
-1.088091103e+00 1.997748309e+00 2.008473197e-01 3.901228339e+01 4.478355005e+00
1.545693981e+00 2.130495734e+00 6.040087490e-02 3.647467949e+01 4.910898009e+00
-9.974782019e-01 1.322045122e+00 4.163042785e-01 7.195355846e+00 5.394794907e+00
1.381954513e+00 1.375467951e+00 3.984333685e-01 2.236839469e+01 3.737047768e+00
-1.297187206e+00 1.089298471e+00 2.506990190e-01 2.625991035e+01 3.231623081e+00
-9.981835467e-02 2.040109584e+00 3.085483370e-01 3.945935073e+01 5.303235969e+00
1.033026088e+00 2.325375200e+00 2.600782218e-01 1.176232747e+01 4.060108261e+00
-6.874958943e-01 2.058962956e+00 1.200105637e-01 3.900118269e+01 3.524626176e+00
1.158947345e+00 2.403974965e+00 1.343001553e-01 2.289016542e+01 5.133130680e+00
1.495948043e+00 2.805658359e+00 3.739830911e-01 2.168641455e+01 5.194671093e+00
1.072980884e+00 2.399817394e+00 2.262495135e-01 3.823960120e+01 5.927348592e+00
-1.605368950e-01 1.986107137e+00 4.047500503e-01 3.062044659e+01 6.088879725e+00
-4.066035305e-01 2.671096193e+00 5.299817025e-01 3.481923518e+01 3.229356747e+00
-5.441796778e-02 7.980908683e-01 7.956824587e-01 2.683943826e+01 4.319389066e+00
-1.280549943e+00 1.491936740e+00 5.548948252e-01 3.683982558e+01 3.344597695e+00
-8.582150501e-01 3.026947287e+00 5.073839176e-02 3.307379464e+00 3.454478239e+00
1.148179834e-01 2.172253220e+00 7.404730622e-01 3.119853435e+01 5.840841443e+00
7.323473847e-01 2.722402104e+00 7.811305460e-01 7.048940896e+00 4.170520837e+00
-1.604201228e-01 1.847194191e+00 3.931182535e-01 3.034761704e+00 4.330967393e+00
-6.107275833e-01 3.066201138e+00 4.956317429e-01 3.667974087e+01 6.267296564e+00
1.404709154e+00 2.807063992e+00 1.648440629e-01 2.479843640e+01 5.749691602e+00
7.882462462e-01 1.222926168e+00 7.425917588e-02 1.850584035e+01 5.497642641e+00
-8.776783600e-02 1.365880184e+00 7.014730831e-01 2.966041970e+01 4.911449643e+00
-1.341537381e-01 1.556320875e+00 1.103687822e-01 3.392797713e+00 5.830396729e+00
7.735007022e-01 2.268469077e+00 3.277792490e-01 3.632003489e+01 6.104534258e+00
1.115955616e+00 1.601900944e+00 2.789394762e-01 3.174408597e+01 5.590855067e+00
-6.484051075e-01 1.609862155e+00 1.654138871e-01 3.295912906e+01 5.386427550e+00
7.326075279e-01 1.091747078e+00 2.971730930e-01 4.614433326e+00 4.674684726e+00
9.697284060e-01 1.410429914e+00 4.149678892e-01 2.455633348e+01 5.402495605e+00
1.215453099e+00 1.138394490e+00 6.059436210e-01 3.596705315e+01 3.802865392e+00
-1.492023717e+00 1.770344616e+00 6.312149958e-01 7.713284209e+00 3.226887298e+00
3.940526575e-02 2.189652233e+00 6.322586706e-01 8.983637336e+00 3.393118598e+00
3.541470364e-01 1.833937826e+00 6.729734830e-01 3.898713636e+01 3.347614358e+00
-6.897042919e-01 2.835963048e+00 6.102967146e-01 3.286306609e+01 4.341617761e+00
-1.503063786e-01 3.075037290e+00 5.877059511e-01 2.838471960e+01 3.287253113e+00
9.803421950e-02 2.748418749e+00 3.103577193e-01 1.280157410e+01 5.186840367e+00
1.534312529e+00 1.750327373e+00 3.649893570e-01 2.747998605e+01 3.390457041e+00
-1.551228550e+00 1.621601610e+00 5.001227851e-01 2.291040456e+01 5.595200403e+00
-9.379547833e-01 2.283022275e+00 2.652855845e-01 3.857836501e+01 5.618127972e+00
-7.634099995e-01 2.253317043e+00 4.806505796e-01 2.796813181e+01 5.338084628e+00
-5.000612054e-01 2.267140749e+00 6.245390202e-01 2.146306947e+01 5.025803477e+00
-1.403573838e+00 1.455417256e+00 6.180680073e-01 4.014429267e+00 4.958957422e+00
-5.448072845e-01 1.559449625e+00 4.617817202e-02 1.557733455e+01 5.204971353e+00
-9.471552294e-01 2.721381617e+00 7.161395210e-01 7.509862222e+00 6.085164255e+00
1.033734815e+00 2.397774729e+00 7.222003816e-02 2.568086416e+01 5.327964628e+00
4.305619139e-01 1.234719372e+00 2.771579842e-01 1.451137313e+01 4.842025971e+00
-1.301716090e+00 2.607917049e+00 2.747054575e-01 2.635223592e+01 3.199060200e+00
-8.786962269e-01 2.004222192e+00 6.003812702e-01 1.386268390e+01 4.342935026e+00
5.688926577e-01 2.535733497e+00 5.505218845e-01 3.862641873e+01 5.994440180e+00
-1.147952319e+00 1.840333772e+00 1.132720594e-01 5.076345437e+00 5.664830516e+00
1.433452989e+00 1.275593408e+00 2.263302426e-02 2.260346347e+01 4.398128114e+00
-1.141314711e+00 2.388526757e+00 6.233865086e-03 8.769174564e+00 3.414826852e+00
9.347847164e-01 2.738762230e+00 4.865273550e-01 3.996517626e+01 4.738087108e+00
-5.358339286e-03 2.023550827e+00 7.909735669e-01 3.414226257e+01 3.997852685e+00
-6.132177360e-01 2.868838761e+00 1.295776079e-01 1.868551111e+01 4.584160249e+00
-8.345929961e-01 3.094413766e+00 7.336812027e-01 3.602990667e+01 6.074010727e+00
1.234045642e+00 2.264010706e+00 6.710755616e-01 1.574714740e+01 4.348350921e+00
-3.845353776e-01 2.697593129e+00 2.493950191e-01 3.902991136e+01 4.912342602e+00
-1.330275282e+00 2.834591135e+00 5.585266483e-01 1.762313221e+01 3.964646341e+00
-1.463846477e+00 2.982896940e+00 5.217335681e-01 2.667049322e+01 5.414574769e+00
-1.205341682e-01 1.983505707e+00 4.185261196e-01 2.507488271e+01 5.719300390e+00
1.173807237e+00 2.821509787e+00 3.338717947e-01 2.165496403e+01 6.047464344e+00
-4.690861982e-01 1.515551352e+00 2.839203816e-01 3.746229706e+01 3.619936912e+00
1.015854532e+00 1.107322185e+00 3.743382684e-03 7.940826661e-01 4.170664862e+00
1.404205094e+00 2.833035428e+00 4.585001609e-01 3.536983456e+01 4.983282355e+00
-1.359492171e+00 1.696557774e+00 2.086390900e-02 3.291218980e+01 4.697509285e+00
-6.347821155e-01 1.804272971e+00 3.118500242e-01 3.680618484e+01 3.650891515e+00
3.741655914e-01 1.547969968e+00 1.896698961e-01 1.588381463e+01 4.854277339e+00
-6.224816710e-01 2.914292027e+00 1.524119948e-01 1.289831942e+01 4.570662070e+00
-1.020982143e+00 8.181055824e-01 7.080694819e-01 3.962022570e+01 4.812207257e+00
-1.411368702e-02 1.960508394e+00 6.155054666e-02 3.747293954e+01 5.614284695e+00
8.181910568e-01 1.944813880e+00 4.066290282e-01 1.433954334e+01 4.108331830e+00
5.880013520e-01 3.095015733e+00 4.089965858e-01 5.833551436e+00 4.979415052e+00
-7.907939924e-01 2.917109874e+00 3.454900479e-01 5.093075441e-01 4.524476860e+00
3.832263064e-01 2.561478599e+00 8.966794131e-02 1.308907910e-01 4.963882535e+00
-5.788411310e-01 1.445726463e+00 7.895180808e-01 3.033315258e+01 4.135995559e+00
-6.995404500e-01 2.557978172e+00 2.487243729e-01 1.030053787e+01 4.422918874e+00
1.349776762e+00 1.782603807e+00 7.025279643e-01 2.841555529e+01 3.565603145e+00
-6.920708550e-01 1.446819813e+00 5.602781096e-01 1.175829456e+01 5.365029775e+00
1.409341949e+00 2.194711146e+00 4.304400549e-01 1.744988864e+01 4.450272492e+00
-9.356655169e-01 2.887497234e+00 5.531100964e-01 7.077107635e+00 4.256812982e+00
2.056022220e-01 2.004931016e+00 1.916395458e-01 5.933619981e+00 3.631271120e+00
-3.758481705e-01 2.694502872e+00 4.237458851e-01 6.341739497e+00 6.240027958e+00
9.674551235e-01 2.006468769e+00 7.418259327e-01 2.451704969e+01 3.942331885e+00
-1.169481483e+00 1.346606442e+00 7.968128237e-01 4.709921403e+00 3.216922950e+00
1.417206191e+00 2.674074150e+00 3.694141622e-01 2.241320104e+01 4.273760569e+00
7.185179018e-01 3.024883485e+00 5.850834801e-01 2.618592292e+01 5.844848540e+00
-1.018788707e+00 1.988891352e+00 1.553641279e-01 3.327600818e+01 4.972720235e+00
6.052635538e-01 7.979163309e-01 1.720023427e-01 2.943685416e+01 5.801834861e+00
-1.278504305e+00 2.158789092e+00 2.037850243e-01 1.285082730e+01 5.058414970e+00
1.771009316e-01 7.895218319e-01 6.046113298e-01 6.211498986e+00 5.105561642e+00
-1.248168417e+00 8.590662129e-01 7.984047841e-01 2.399971221e+01 4.331559035e+00
-1.432803222e+00 2.384446422e+00 2.308441695e-01 2.926136555e+01 5.076388983e+00
-3.369518090e-01 1.571883128e+00 6.119628884e-01 1.516512916e+01 4.142142298e+00
5.999097524e-01 1.579170629e+00 5.278539579e-01 4.413654790e+00 3.394227465e+00
7.127091344e-01 2.265512268e+00 5.730346208e-01 3.189675497e+01 5.536516689e+00
5.307592194e-01 9.101247517e-01 7.173523041e-01 1.791948602e+01 5.355628065e+00
2.874818637e-01 3.132546326e+00 7.265385619e-01 2.892350736e+01 4.487140804e+00
1.190061732e+00 1.128813582e+00 3.396598642e-03 4.243812046e+00 3.458324419e+00
1.182450303e-01 2.601298074e+00 6.565511802e-01 6.952997047e-01 5.566036227e+00
-1.262837671e+00 2.907725615e+00 6.631029888e-01 3.245768842e+01 3.611120328e+00
-1.126331114e+00 2.332040264e+00 6.430770377e-01 1.871995517e+01 3.715103568e+00
1.451559480e+00 2.298992578e+00 7.998618354e-01 1.413082801e+01 5.112728719e+00
9.360462593e-01 2.903143843e+00 1.538430182e-01 2.283616382e+01 4.338799594e+00
-1.548793156e+00 1.077015993e+00 7.472441921e-01 1.902157230e+01 4.608200287e+00
1.399848247e+00 2.340413704e+00 2.835353957e-01 8.274827394e+00 5.792733376e+00
4.880269186e-01 1.705931926e+00 6.017576136e-01 1.169636740e+00 5.558508620e+00
1.289549547e+00 2.549052128e+00 6.977659655e-01 2.256427913e+01 5.972101606e+00
-1.090884168e+00 2.044367929e+00 5.061894287e-01 1.319629118e+01 6.003742034e+00
2.783054819e-01 2.035323800e+00 7.665090523e-01 1.846675542e+01 4.670834965e+00
1.182398279e-02 2.919644029e+00 9.750013332e-02 3.983565299e+01 5.260431805e+00
-1.024239797e+00 1.264591942e+00 7.662983493e-01 1.102291552e+01 4.120908390e+00
-1.372650063e+00 2.678004098e+00 6.671432610e-01 9.445641189e+00 3.221925325e+00
5.166817672e-01 1.092352480e+00 2.632896909e-01 2.226869976e+01 5.122816270e+00
-1.469817496e+00 2.168041941e+00 2.888902225e-01 3.903514493e+01 4.155262952e+00
-8.221914156e-01 1.361170157e+00 6.808222418e-02 5.410734964e+00 3.417832200e+00
4.844911216e-02 1.219833154e+00 6.083740541e-01 2.991304063e+01 4.629496933e+00
3.214035535e-01 3.133862078e+00 7.666883249e-01 1.651781943e+00 4.851401304e+00
-6.815070705e-01 2.053587003e+00 2.977401680e-01 2.870018749e+01 4.057074188e+00
1.077428210e+00 2.835486512e+00 5.550582293e-01 3.161525984e+01 3.311306786e+00
1.239375504e+00 2.491691245e+00 4.380089743e-01 1.735612872e+01 4.561423183e+00
7.008204542e-01 2.562350285e+00 5.671073144e-01 3.766882579e+01 3.251229204e+00
1.339340044e+00 2.325450290e+00 2.419717030e-01 6.479923950e+00 5.168642003e+00
-1.384748683e+00 1.696623166e+00 2.804270641e-01 6.943691957e+00 3.651751429e+00
-1.412536965e+00 1.401221887e+00 2.722256798e-01 7.235083565e+00 4.980730385e+00
-1.181016416e+00 1.771171549e+00 6.733668063e-01 1.762056711e+01 5.534626834e+00
-1.186667414e+00 2.141730539e+00 4.474516663e-01 1.069263976e+01 3.650612124e+00
9.781146574e-02 2.807071198e+00 5.745412617e-01 3.742959385e+01 3.906336912e+00
1.297253452e+00 2.851832093e+00 6.040867846e-01 1.118285827e+01 4.333688499e+00
-9.970527713e-01 1.724432757e+00 2.969293183e-01 3.677823938e+01 3.995408744e+00
1.543305951e+00 8.071042823e-01 1.135083473e-01 6.937024994e+00 4.568477310e+00
1.192901354e+00 1.749829900e+00 5.196330281e-01 6.543059445e-01 3.771687441e+00
-5.559193088e-01 2.050744976e+00 5.426505079e-01 3.908727012e+01 4.233165805e+00
-9.692686842e-01 1.964965928e+00 5.951276920e-01 3.682294402e+01 3.569533588e+00
-9.839396195e-03 1.000477146e+00 6.297146841e-01 1.417896713e+01 5.551277953e+00
-5.827672929e-01 2.825197071e+00 4.808255532e-01 5.794356538e+00 5.587365134e+00
-1.474843372e+00 2.347838488e+00 3.215007221e-01 1.636660019e+01 4.389670686e+00
-1.279162132e+00 2.921216995e+00 3.404075763e-02 3.403579806e+01 3.207505396e+00
2.795238955e-01 2.088995268e+00 1.896240423e-02 1.614006923e+01 4.725808752e+00
4.208805197e-01 2.592418422e+00 9.939042653e-02 2.502145017e+01 3.611632428e+00
1.464321681e+00 1.096783926e+00 2.113732988e-01 1.152282179e+01 5.002014143e+00
-1.523277791e+00 1.622866459e+00 5.784953829e-01 6.145001174e+00 6.053853184e+00
7.321223508e-01 9.192284850e-01 4.753992260e-01 2.811263773e+00 4.838033548e+00
4.171893660e-01 2.138888159e+00 3.215042306e-01 4.482272739e+00 6.067491841e+00
5.290652181e-03 2.255697583e+00 3.331492534e-01 3.079658880e+01 5.485799606e+00
-1.190259221e+00 1.553643219e+00 7.879752259e-02 1.677338078e+01 3.421196302e+00
1.123932812e+00 1.634331877e+00 1.978804225e-01 1.495648367e+01 3.917159043e+00
6.355701472e-01 1.769424498e+00 6.083992196e-01 1.455353322e+01 4.423988692e+00
2.154480499e-01 1.291332083e+00 3.665611559e-01 2.491884692e+01 5.448944564e+00
1.510651524e+00 2.609994615e+00 5.757527578e-01 4.830369954e+00 4.827384548e+00
-1.286292518e+00 1.955644267e+00 4.636606069e-01 2.200895725e+01 5.259646596e+00
7.130304810e-01 1.478513891e+00 3.470491484e-01 5.064074548e+00 3.912494844e+00
-3.569017639e-02 2.663000432e+00 7.968318458e-03 1.031703524e+01 5.846922408e+00
-6.892326942e-01 2.919258352e+00 4.852405535e-01 7.704940086e-01 3.210883174e+00
1.209937038e+00 2.417053760e+00 2.707001934e-01 2.793308499e+01 4.833093685e+00
9.662664746e-01 1.605359214e+00 4.360074160e-01 2.673876152e+01 5.164310363e+00
-1.901296183e-01 2.221362719e+00 6.464878685e-01 2.671942939e+01 5.580413271e+00
4.447751007e-01 1.612432546e+00 6.132544238e-01 3.047212241e+01 4.048382910e+00
4.114626506e-01 2.257342684e+00 4.698591335e-01 2.638539289e+00 5.250094333e+00
-1.543508686e+00 1.399413752e+00 2.410001616e-01 2.133005403e+01 4.111782181e+00
-8.739927889e-01 1.188771190e+00 1.916913686e-01 7.843522762e+00 3.404193017e+00
-8.889566598e-01 2.125344770e+00 7.818562626e-01 4.077889748e-01 4.215496871e+00
-8.783552528e-01 1.684576502e+00 8.233984600e-02 3.622220585e+01 5.554452926e+00
7.571708511e-01 9.979582089e-01 2.271945365e-01 2.199729255e+01 4.332713990e+00
1.386479590e+00 1.632793586e+00 3.596529017e-01 3.952329046e+01 4.685448654e+00
-7.333868800e-01 2.270302269e+00 2.996011032e-01 1.947877706e+01 4.472005853e+00
7.764381885e-01 2.869178987e+00 5.919633588e-01 4.194029699e+00 4.303029453e+00
-1.563496819e+00 2.932896916e+00 2.084698707e-01 1.510294728e+01 3.337773213e+00
9.713788466e-01 2.810208255e+00 6.820046771e-01 2.961034335e+00 4.233810378e+00
9.633799215e-01 3.088376601e+00 8.016773705e-02 3.159838158e+01 3.339242553e+00
-1.398767427e+00 1.467924280e+00 3.740071575e-01 2.748932201e+01 4.114488255e+00
-1.259340072e+00 3.013365971e+00 1.236478471e-01 2.513790746e+01 3.281592969e+00
1.671314270e-01 1.880185627e+00 3.615713966e-01 3.999310389e+01 4.263237154e+00
8.255391349e-01 1.625526450e+00 5.488560079e-01 1.295211837e+01 3.923422145e+00
7.251240827e-01 1.653375426e+00 6.985147575e-01 3.726291897e-01 5.280427916e+00
5.729590787e-01 3.064244402e+00 4.293853551e-01 2.567175653e+01 5.445400051e+00
8.245367098e-01 3.120928367e+00 4.733101202e-01 1.290458149e+01 4.048956993e+00
3.121553315e-01 3.069480029e+00 8.820795047e-02 2.721802669e+01 3.939846555e+00
-8.306010490e-01 2.633012763e+00 6.371522477e-01 2.803645682e+01 4.089436693e+00
-1.481887544e+00 7.948036616e-01 2.839081621e-01 9.123174015e+00 4.558740829e+00
1.292662132e+00 1.422106661e+00 4.724968887e-01 2.550902633e+01 3.756248050e+00
-2.697869172e-01 1.947418019e+00 6.852271571e-01 2.569241741e+01 4.169078995e+00
7.016772127e-01 1.606511477e+00 6.524019654e-01 3.835869904e+01 5.421511778e+00
-7.349142568e-01 1.417241547e+00 2.166577924e-01 3.485689410e+01 6.151893500e+00
1.508360473e+00 2.996537026e+00 4.605817415e-01 2.989078961e+01 3.631574549e+00
-1.010797392e+00 1.765802032e+00 3.829165090e-01 3.122304474e+01 4.872326684e+00
-1.422676166e+00 1.545101924e+00 3.868050472e-01 5.666193818e+00 3.488710330e+00
-1.847636151e-02 2.303085529e+00 5.027212269e-02 1.990837292e+01 3.299366135e+00
-4.065385715e-01 1.558779978e+00 6.377677195e-01 3.236437061e+01 5.752374020e+00
4.885031646e-01 2.925343425e+00 7.024198869e-01 2.223760239e-01 5.569220934e+00
-1.569855156e+00 2.282346768e+00 3.802807016e-01 1.497860910e+01 5.051205588e+00
-1.120933763e+00 1.580075537e+00 4.964155648e-02 2.056814193e+01 4.695701290e+00
1.127184263e+00 9.286340460e-01 2.118253543e-01 3.434816153e+01 4.704515654e+00
5.740233051e-01 1.047150698e+00 1.346161602e-01 2.650614619e+01 4.130559793e+00
-5.274154185e-01 2.289683291e+00 6.642009491e-01 3.258780782e+01 5.361239600e+00
-1.492077135e+00 2.691423004e+00 5.088378702e-01 1.502623940e+01 3.630648547e+00
-1.437482842e+00 1.889634225e+00 3.431819972e-01 2.265387666e+01 3.600590589e+00
-3.467109094e-01 9.017720705e-01 1.238644169e-01 3.659132555e+01 5.975173160e+00
1.391055523e+00 1.999680449e+00 5.101791684e-02 9.698590078e+00 4.240849294e+00
1.314441899e+00 1.390913468e+00 3.930066960e-01 2.565689528e+01 3.218768035e+00
-5.817573221e-01 1.724296478e+00 6.260083217e-01 2.424032871e+01 6.170261543e+00
-4.012261881e-01 2.135382786e+00 1.567962269e-02 3.200187394e+01 5.484684853e+00
-7.324058069e-01 1.328103491e+00 5.965044152e-01 2.278960880e+00 5.312317321e+00
-1.124515783e+00 1.050293961e+00 4.872276148e-01 3.988782258e+01 5.312978749e+00
2.873681590e-01 1.510329708e+00 4.448290783e-01 1.059839010e+01 5.849360423e+00
-1.159300106e-01 2.066028714e+00 1.985991041e-01 3.071139230e+01 3.185446200e+00
1.052937229e+00 2.300695503e+00 7.900348460e-01 2.131043278e+01 4.801299015e+00
-1.433740052e-02 2.410530205e+00 5.628820789e-01 5.949432548e+00 5.595135571e+00
-1.514376397e+00 2.839817651e+00 5.060294164e-01 7.385969546e+00 4.209862556e+00
-1.950106150e-01 8.371640668e-01 6.222276843e-01 3.877884324e+01 5.193552326e+00
-1.149119384e+00 2.344418656e+00 4.823980681e-01 2.352257271e+01 4.796397920e+00
-5.262609550e-01 2.999190092e+00 6.544451272e-01 1.767619042e+00 4.983759672e+00
4.090478553e-03 2.435583849e+00 3.481770952e-02 9.020772229e+00 3.401542990e+00
1.361777530e-01 1.855078036e+00 2.350903445e-01 1.848703841e+01 3.795901611e+00
6.118255490e-01 9.615006610e-01 4.536569862e-01 1.141713531e+01 3.835318549e+00
1.457574641e+00 2.589013764e+00 3.616185623e-01 2.774108567e+01 5.498056196e+00
-3.928088913e-01 2.359621251e+00 6.123448097e-01 6.835329888e+00 6.230683063e+00
8.017920922e-01 1.459208617e+00 3.082630791e-01 2.437270328e+01 3.188664841e+00
8.942638056e-02 1.446997142e+00 4.956978509e-01 1.604395301e+01 5.879190503e+00
1.144942790e+00 1.585715225e+00 5.910143557e-01 3.586044991e+01 4.052387511e+00
1.910658501e-01 3.043786272e+00 3.566608799e-01 1.245473108e+01 5.133072592e+00
-3.700884012e-01 1.274476765e+00 3.823028552e-01 3.920018105e+01 5.612242717e+00
-1.196687324e-04 2.021460635e+00 1.714960625e-02 3.987064201e+01 4.325343138e+00
9.337690738e-02 2.559835475e+00 5.165930835e-01 1.738666143e+00 5.247378603e+00
1.524852955e+00 2.526909258e+00 4.970475931e-01 1.075190983e+01 4.189167105e+00
-1.377576483e+00 1.894530690e+00 3.761785192e-01 2.779041524e+01 4.854404811e+00
-1.429180749e+00 1.504235893e+00 5.810729124e-02 1.186904585e+01 3.688246351e+00
-9.598201551e-01 1.646182755e+00 2.754211788e-01 7.042360333e+00 5.715325209e+00
-1.557726357e+00 1.405753830e+00 6.563644147e-01 1.551854922e+01 4.175912976e+00
-1.237752910e+00 2.545362804e+00 4.887413993e-01 2.218494518e+01 3.862497986e+00
-3.314655143e-01 1.150927701e+00 4.533764619e-01 3.785778133e+01 4.569636513e+00
-9.268310664e-01 2.928189830e+00 2.743177549e-01 7.244363231e+00 5.461348842e+00
-5.662874150e-02 1.021763470e+00 1.100358252e-01 9.562766726e-01 5.015980501e+00
1.084556455e+00 2.507326776e+00 5.962574041e-01 1.770165453e+01 4.083644781e+00
4.347902035e-01 1.178997653e+00 4.249102327e-01 3.569353774e+00 4.691124581e+00
8.397371095e-01 1.720437808e+00 5.309376095e-01 3.587366886e+01 6.238076476e+00
1.037920269e+00 9.781999768e-01 7.702174584e-01 1.211449899e+01 5.414159261e+00
-1.171409992e+00 1.550558015e+00 6.226297436e-01 1.264275654e+01 3.577195618e+00
-1.431001050e+00 2.860356109e+00 4.937884805e-01 2.407904530e+01 3.672481396e+00
-1.626610318e-01 1.356544024e+00 1.577574181e-01 1.721063715e+01 3.722198244e+00
-1.050155556e-01 1.584657191e+00 2.070204159e-01 3.051444411e+01 4.571306602e+00
1.445239908e+00 2.225698981e+00 2.807687585e-01 1.097909622e+00 5.013210981e+00
-7.604898585e-01 2.686899547e+00 7.388490831e-01 3.955109516e+01 4.386227575e+00
-1.754922365e-01 2.102187304e+00 3.701260673e-01 3.366234502e+01 4.444234438e+00
1.852863110e-01 1.850386576e+00 2.608908060e-01 3.965069766e+01 4.028715306e+00
1.098964910e+00 1.158926529e+00 4.625607576e-01 3.744430085e+01 4.946525225e+00
-1.176467152e+00 2.267778791e+00 1.072800089e-01 3.857090262e+01 5.667538029e+00
1.345494328e+00 1.579565528e+00 2.249053356e-02 1.787563421e-01 4.466695367e+00
2.502863753e-01 1.104938068e+00 3.235037641e-01 3.597263535e+01 4.800996014e+00
-1.176450902e-01 1.183302269e+00 6.855948679e-01 4.039163354e+00 5.984546577e+00
-1.777436688e-01 1.323508324e+00 4.219048691e-01 2.448293561e+01 4.655623329e+00
-1.413342113e+00 3.121404397e+00 4.925957032e-01 3.136723245e+01 4.037904937e+00
-7.064180619e-01 1.962985752e+00 8.748816705e-02 2.524155712e+01 4.890244435e+00
3.765776442e-01 1.880601810e+00 1.437060071e-01 6.376625280e+00 3.753809795e+00
1.315698237e+00 1.446642588e+00 7.156548601e-01 1.066750128e+00 4.897957581e+00
1.320942947e+00 1.829232074e+00 7.145703969e-01 6.632622474e+00 3.144692007e+00
-7.659604113e-01 9.921946561e-01 4.052546432e-01 2.894965060e+01 6.231394526e+00
1.134994743e-01 1.400506946e+00 7.991728163e-01 3.839742691e+01 4.791950706e+00
-6.093981741e-01 1.118557621e+00 4.857659370e-01 5.085260711e+00 4.394358105e+00
-4.149456704e-01 1.343789782e+00 1.714660862e-01 3.125515015e+01 5.415312021e+00
-4.675549351e-01 1.299258069e+00 7.711296382e-02 1.120945393e+01 5.795198068e+00
-2.109837220e-01 2.026431249e+00 6.899408587e-01 3.964899830e+01 5.639969299e+00
-1.559757038e+00 1.563454722e+00 1.164783251e-01 7.493169341e+00 6.131163038e+00
-1.417120367e-01 2.959161502e+00 3.881020169e-01 1.641183478e+01 5.284788122e+00
-5.841687606e-01 1.619902841e+00 2.656060980e-02 8.221407534e+00 5.170350924e+00
-7.421402595e-01 1.405908084e+00 6.006672007e-01 2.104089570e+01 3.973969172e+00
2.273769287e-01 2.169802433e+00 3.018296814e-01 7.833016010e+00 5.385033956e+00
-2.820141588e-02 2.713502703e+00 7.901910654e-01 2.086386146e+01 6.193718625e+00
6.898230213e-01 3.071326881e+00 2.578026705e-01 3.609125490e+01 5.603613301e+00
-1.137106701e-01 2.753566760e+00 2.348922734e-01 3.531016337e+01 6.250892699e+00
1.102496270e+00 2.261283997e+00 2.119456462e-01 3.213666101e+01 5.338299059e+00
9.053645881e-01 1.525184654e+00 9.812937289e-03 9.106174990e-01 6.087113655e+00
1.288883847e-01 2.224017143e+00 2.411717876e-01 3.192609617e+01 4.040481404e+00
